id,kind,mk,x,y,z,r,theta,z_over_H,region,volume_weight
1071,top_platen,1,0.013367156909313005,-0.014876797913590332,0.11250000000000002,0.020000000000000004,-0.8387974071493399,,top_platen,7.391982714328927e-07
1072,top_platen,1,0.017838621869859874,-0.009043426882778288,0.11250000000000002,0.02,-0.46919827143289283,,top_platen,7.391982714328927e-07
1073,top_platen,1,0.019900882099666055,-0.0019886909400887733,0.11250000000000002,0.02,-0.09959913571644588,,top_platen,7.391982714328927e-07
1074,top_platen,1,0.028282639965850384,0.010004612764224432,0.11250000000000002,0.029999999999999995,0.34,,top_platen,7.539822368615502e-07
1075,top_platen,1,0.024906042803723286,0.0167239059988719,0.11250000000000002,0.03,0.5913274122871836,,top_platen,7.539822368615502e-07
1076,top_platen,1,0.019964507374220203,0.02239237471338641,0.11250000000000002,0.029999999999999995,0.842654824574367,,top_platen,7.539822368615502e-07
1077,top_platen,1,0.013768528522072861,0.026653848171265367,0.11250000000000002,0.030000000000000002,1.0939822368615504,,top_platen,7.539822368615502e-07
1078,top_platen,1,0.006707422385777892,0.029240562322547174,0.11250000000000002,0.03,1.345309649148734,,top_platen,7.539822368615502e-07
1079,top_platen,1,-0.0007751357671894635,0.029989984403837617,0.11250000000000002,0.029999999999999995,1.5966370614359173,,top_platen,7.539822368615502e-07
1080,top_platen,1,-0.008208989289154367,0.028855025469587594,0.11250000000000002,0.03,1.8479644737231007,,top_platen,7.539822368615502e-07
1081,top_platen,1,-0.015127041823530965,0.02590699916372301,0.11250000000000002,0.029999999999999992,2.0992918860102843,,top_platen,7.539822368615502e-07
1082,top_platen,1,-0.021094606686766895,0.02133114082112369,0.11250000000000002,0.03,2.3506192982974676,,top_platen,7.539822368615502e-07
1083,top_platen,1,-0.025736719831336716,0.015414968450284916,0.11250000000000002,0.030000000000000002,2.601946710584651,,top_platen,7.539822368615502e-07
1084,top_platen,1,-0.028761700215869195,0.008530216919426476,0.11250000000000002,0.029999999999999995,2.8532741228718344,,top_platen,7.539822368615502e-07
1085,top_platen,1,-0.029979477197704527,0.0011094804875771418,0.11250000000000002,0.030000000000000002,3.1046015351590177,,top_platen,7.539822368615502e-07
1086,top_platen,1,-0.02931353337040353,-0.00638096868369047,0.11250000000000002,0.029999999999999995,-2.927256359733385,,top_platen,7.539822368615502e-07
1087,top_platen,1,-0.026805712433805612,-0.013470478125000584,0.11250000000000002,0.03,-2.675928947446202,,top_platen,7.539822368615502e-07
1088,top_platen,1,-0.022613590000477444,-0.019713587884763812,0.11250000000000002,0.03,-2.424601535159018,,top_platen,7.539822368615502e-07
1089,top_platen,1,-0.017000572540452896,-0.024718020416222633,0.11250000000000002,0.03,-2.1732741228718346,,top_platen,7.539822368615502e-07
1090,top_platen,1,-0.010319346583979478,-0.02816932881841012,0.11250000000000002,0.029999999999999995,-1.921946710584651,,top_platen,7.539822368615502e-07
1091,top_platen,1,-0.002989718129732667,-0.02985065469139241,0.11250000000000002,0.03,-1.6706192982974672,,top_platen,7.539822368615502e-07
1092,top_platen,1,0.00452776531001936,-0.029656354147086002,0.11250000000000002,0.029999999999999995,-1.4192918860102843,,top_platen,7.539822368615502e-07
1093,top_platen,1,0.011760752603386885,-0.027598635803277097,0.11250000000000002,0.029999999999999995,-1.1679644737231014,,top_platen,7.539822368615502e-07
1094,top_platen,1,0.01825476855766116,-0.023806793671265886,0.11250000000000002,0.03,-0.9166370614359175,,top_platen,7.539822368615502e-07
1095,top_platen,1,0.023601770267115067,-0.01851908313762652,0.11250000000000002,0.03,-0.6653096491487347,,top_platen,7.539822368615502e-07
1096,top_platen,1,0.027465785949446958,-0.012067750502026544,0.11250000000000002,0.03,-0.4139822368615509,,top_platen,7.539822368615502e-07
1097,top_platen,1,0.02960402528848028,-0.004858156720302468,0.11250000000000002,0.03,-0.1626548245743671,,top_platen,7.539822368615502e-07
1098,top_platen,1,0.029882134842649368,0.002656692915208785,0.11250000000000002,0.03,0.0886725877128158,,top_platen,7.539822368615502e-07
1099,top_platen,1,0.03668483291266421,0.01594437311937692,0.11250000000000002,0.04,0.41000000000000003,,top_platen,7.391982714328922e-07
1100,top_platen,1,0.03313043304697456,0.02241371022655411,0.11250000000000002,0.04,0.5947995678582232,,top_platen,7.391982714328922e-07
1101,top_platen,1,0.028447816019444908,0.028119775314248398,0.11250000000000002,0.04,0.7795991357164462,,top_platen,7.391982714328922e-07
1102,top_platen,1,0.022796442736767678,0.03286825517956912,0.11250000000000002,0.04,0.9643987035746694,,top_platen,7.391982714328922e-07
