case,source,dp,time_mid,interface_index,interface_r_over_R,fv_gradient_flux
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,6,0.95,0.2544447332175951
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0025135,7,1.0,32.62666339948721
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,0,0.0,0.0
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,1,0.2,-0.005748049356209037
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,2,0.4,0.0051566530763501655
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,3,0.6,0.2852753156775915
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,4,0.8,0.3592845669333188
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,5,0.9,0.14494779211390946
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,6,0.95,0.34138383566246383
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0035190000000000004,7,1.0,28.222238482661606
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,0,0.0,0.0
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,1,0.2,0.0007506894611937236
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,2,0.4,0.07684062081970087
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,3,0.6,0.4435604702032803
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,4,0.8,0.5714359876954732
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,5,0.9,0.5468638587183412
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,6,0.95,0.41802653122205635
mode5_mls_dp010,C5j mode5 MLS,0.01,0.004524500000000001,7,1.0,26.23945981412633
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,0,0.0,0.0
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,1,0.2,-0.005853978871880047
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,2,0.4,0.03288424424043216
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,3,0.6,0.3623690804474921
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,4,0.8,0.5452948799689723
