case,part,time,region,status_-6,status_-5,status_-4,status_-3,status_-2,status_-1,status_0,status_1,status_2
ramp_current_adaptive,26,0.013069,bottom_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,26,0.013069,interior,0,0,0,8,0,0,2,53,0
ramp_current_adaptive,26,0.013069,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,27,0.013572,edge,0,0,0,0,0,4,0,108,0
ramp_current_adaptive,27,0.013572,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,27,0.013572,bottom_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,27,0.013572,interior,0,0,0,4,0,0,2,57,0
ramp_current_adaptive,27,0.013572,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,28,0.014075,edge,0,0,0,0,0,4,0,108,0
ramp_current_adaptive,28,0.014075,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,28,0.014075,bottom_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,28,0.014075,interior,0,0,0,4,0,0,2,57,0
ramp_current_adaptive,28,0.014075,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,29,0.014577,edge,0,0,0,0,0,4,0,108,0
ramp_current_adaptive,29,0.014577,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,29,0.014577,bottom_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,29,0.014577,interior,0,0,0,4,0,0,2,57,0
ramp_current_adaptive,29,0.014577,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,30,0.01508,edge,0,0,0,0,0,4,0,108,0
ramp_current_adaptive,30,0.01508,lateral_boundary,0,0,0,0,0,0,0,196,0
ramp_current_adaptive,30,0.01508,bottom_cap_zone,0,0,0,1,0,0,0,17,0
ramp_current_adaptive,30,0.01508,interior,0,0,0,4,0,0,2,57,0
ramp_current_adaptive,30,0.01508,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,31,0.015583,edge,0,0,0,0,0,4,0,108,0
ramp_current_adaptive,31,0.015583,lateral_boundary,0,0,0,0,0,0,0,192,0
ramp_current_adaptive,31,0.015583,bottom_cap_zone,0,0,0,5,0,0,0,13,0
ramp_current_adaptive,31,0.015583,interior,0,0,0,4,0,0,2,61,0
ramp_current_adaptive,31,0.015583,top_cap_zone,0,0,0,0,0,0,0,18,0
ramp_current_adaptive,32,0.016085,edge,0,0,0,0,0,4,0,108,0
ramp_current_adaptive,32,0.016085,lateral_boundary,0,0,0,0,0,0,0,192,0
