step,time,factor,applied,raw_max,raw_mean,used_max,used_mean,pre_accel_max,ratio_max,confining_ref,limited,relaxed,cap_min,lateral_used_max,cap_edge_used_max,interior_used_max,case,label,kind,scale,relax,limiter
79.0,0.00451266,1.0,407.0,1741850.0,456697.0,1741850.0,456697.0,76146.7,417.668,2.25131,0.0,0.0,0.0,1246220.0,1741850.0,313032.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
80.0,0.00451769,1.0,407.0,534540.0,246972.0,534540.0,246972.0,77706.1,356.927,2.27792,0.0,0.0,0.0,534540.0,261621.0,287328.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
81.0,0.00452272,1.0,407.0,636331.0,264793.0,636331.0,264793.0,77034.3,3101.45,2.30329,0.0,0.0,0.0,636331.0,485651.0,292673.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
82.0,0.00452775,1.0,407.0,741896.0,289030.0,741896.0,289030.0,76263.4,465.602,2.32707,0.0,0.0,0.0,741896.0,735837.0,297655.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
83.0,0.00453277,1.0,407.0,1002590.0,317733.0,1002590.0,317733.0,75323.3,237.072,2.34893,0.0,0.0,0.0,851488.0,1002590.0,302194.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
84.0,0.0045378,1.0,407.0,1283780.0,349654.0,1283780.0,349654.0,74125.8,162.36,2.36842,0.0,0.0,0.0,965275.0,1283780.0,306193.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
85.0,0.00454283,1.0,407.0,1577860.0,383916.0,1577860.0,383916.0,73396.0,124.832,2.4825,0.0,0.0,0.0,1083190.0,1577860.0,309548.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
86.0,0.00454785,1.0,407.0,1882310.0,421971.0,1882310.0,421971.0,75268.6,102.107,2.52607,0.0,0.0,0.0,1204790.0,1882310.0,312153.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
87.0,0.00455288,1.0,407.0,2192580.0,464176.0,2192580.0,464176.0,77259.2,86.9997,2.56916,0.0,0.0,0.0,1329080.0,2192580.0,313916.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
88.0,0.00455791,1.0,407.0,2501180.0,508782.0,2501180.0,508782.0,79321.7,87.2125,2.61154,0.0,0.0,0.0,1454380.0,2501180.0,314784.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
89.0,0.00456294,1.0,407.0,2796840.0,556411.0,2796840.0,556411.0,81353.7,98.2255,2.65283,0.0,0.0,0.0,1578130.0,2796840.0,317286.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
90.0,0.00456796,1.0,407.0,737503.0,274290.0,737503.0,274290.0,83314.7,75.7648,2.69254,0.0,0.0,0.0,463441.0,737503.0,301098.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
91.0,0.00457299,1.0,407.0,1000120.0,314589.0,1000120.0,314589.0,82261.5,93.3012,2.72964,0.0,0.0,0.0,653613.0,1000120.0,316782.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
92.0,0.00457802,1.0,407.0,1211960.0,357901.0,1211960.0,357901.0,81078.9,115.76,2.76332,0.0,0.0,0.0,891594.0,1211960.0,342541.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
93.0,0.00458304,1.0,407.0,1367480.0,404538.0,1367480.0,404538.0,79695.5,142.539,2.79317,0.0,0.0,0.0,1145710.0,1367480.0,368267.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
94.0,0.00458807,1.0,407.0,1462640.0,451915.0,1462640.0,451915.0,78036.9,172.905,2.81866,0.0,0.0,0.0,1413270.0,1462640.0,393117.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
95.0,0.0045931,1.0,407.0,1692060.0,499972.0,1692060.0,499972.0,76024.0,197.533,2.83904,0.0,0.0,0.0,1692060.0,1495690.0,416373.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
96.0,0.00459813,1.0,407.0,1979290.0,547880.0,1979290.0,547880.0,73589.5,224.423,2.85346,0.0,0.0,0.0,1979290.0,1468040.0,442605.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
97.0,0.00460315,1.0,407.0,2270920.0,594630.0,2270920.0,594630.0,70674.2,256.127,2.86081,0.0,0.0,0.0,2270920.0,1384500.0,455565.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
98.0,0.00460818,1.0,407.0,2561020.0,639976.0,2561020.0,639976.0,67309.2,293.109,2.8597,0.0,0.0,0.0,2561020.0,1253070.0,470536.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
99.0,0.00461321,1.0,407.0,2841310.0,683915.0,2841310.0,683915.0,68054.4,330.655,2.84851,0.0,0.0,0.0,2841310.0,1024880.0,482080.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
100.0,0.00461823,1.0,407.0,1177860.0,419740.0,1177860.0,419740.0,70202.5,276.389,2.82556,0.0,0.0,0.0,1177860.0,830143.0,392685.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
101.0,0.00462326,1.0,407.0,1420330.0,451734.0,1420330.0,451734.0,69885.9,252.327,2.79106,0.0,0.0,0.0,1420330.0,865124.0,411212.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
102.0,0.00462829,1.0,407.0,1628440.0,483139.0,1628440.0,483139.0,69921.7,199.706,2.74623,0.0,0.0,0.0,1628440.0,893526.0,370571.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
103.0,0.00463332,1.0,407.0,1795390.0,513328.0,1795390.0,513328.0,70325.0,248.949,2.69079,0.0,0.0,0.0,1795390.0,915591.0,354534.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
104.0,0.00463834,1.0,407.0,1914810.0,542951.0,1914810.0,542951.0,71122.5,249.06,3.15892,0.0,0.0,0.0,1914810.0,931928.0,331946.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
