nu,eta,Tv,normalized_center_pressure,root_count,formula
0.1,1.125,2.4302040365886454e-03,1.1021759137192677e+00,200,paper_eq_46_47
0.1,1.125,2.4773649183079316e-03,1.1031937494533681e+00,200,paper_eq_46_47
0.1,1.125,2.5254410107383514e-03,1.1042219997689644e+00,200,paper_eq_46_47
0.1,1.125,2.5744500745878431e-03,1.1052607759684328e+00,200,paper_eq_46_47
0.1,1.125,2.6244102152311239e-03,1.1063101906156014e+00,200,paper_eq_46_47
0.1,1.125,2.6753398893983732e-03,1.1073703575508005e+00,200,paper_eq_46_47
0.1,1.125,2.7272579119936727e-03,1.1084413919060743e+00,200,paper_eq_46_47
0.1,1.125,2.7801834630457817e-03,1.1095234101205762e+00,200,paper_eq_46_47
0.1,1.125,2.8341360947937979e-03,1.1106165299561384e+00,200,paper_eq_46_47
0.1,1.125,2.8891357389103241e-03,1.1117208705130184e+00,200,paper_eq_46_47
0.1,1.125,2.9452027138648093e-03,1.1128365522458195e+00,200,paper_eq_46_47
0.1,1.125,3.0023577324297798e-03,1.1139636969795959e+00,200,paper_eq_46_47
0.1,1.125,3.0606219093327466e-03,1.1151024279261361e+00,200,paper_eq_46_47
0.1,1.125,3.1200167690565816e-03,1.1162528697004244e+00,200,paper_eq_46_47
0.1,1.125,3.1805642537913264e-03,1.1174151483372872e+00,200,paper_eq_46_47
0.1,1.125,3.2422867315402247e-03,1.1185893913082234e+00,200,paper_eq_46_47
0.1,1.125,3.3052070043831676e-03,1.1197757275384139e+00,200,paper_eq_46_47
0.1,1.125,3.3693483169003921e-03,1.1209742874239179e+00,200,paper_eq_46_47
0.1,1.125,3.4347343647597598e-03,1.1221852028490529e+00,200,paper_eq_46_47
0.1,1.125,3.5013893034705752e-03,1.1234086072039624e+00,200,paper_eq_46_47
0.1,1.125,3.5693377573073714e-03,1.1246446354023640e+00,200,paper_eq_46_47
0.1,1.125,3.6386048284068172e-03,1.1258934238994922e+00,200,paper_eq_46_47
0.1,1.125,3.7092161060411784e-03,1.1271551107102191e+00,200,paper_eq_46_47
0.1,1.125,3.7811976760717442e-03,1.1284298354273632e+00,200,paper_eq_46_47
0.1,1.125,3.8545761305856987e-03,1.1297177392401911e+00,200,paper_eq_46_47
0.1,1.125,3.9293785777200193e-03,1.1310189649530973e+00,200,paper_eq_46_47
0.1,1.125,4.0056326516759904e-03,1.1323336570044777e+00,200,paper_eq_46_47
0.1,1.125,4.0833665229281250e-03,1.1336619614857852e+00,200,paper_eq_46_47
0.1,1.125,4.1626089086311000e-03,1.1350040261607672e+00,200,paper_eq_46_47
0.1,1.125,4.2433890832287713e-03,1.1363600004849033e+00,200,paper_eq_46_47
0.1,1.125,4.3257368892689416e-03,1.1377300356250086e+00,200,paper_eq_46_47
0.1,1.125,4.4096827484281309e-03,1.1391142844790307e+00,200,paper_eq_46_47
0.1,1.125,4.4952576727501680e-03,1.1405129016960340e+00,200,paper_eq_46_47
0.1,1.125,4.5824932761029894e-03,1.1419260436963548e+00,200,paper_eq_46_47
0.1,1.125,4.6714217858576969e-03,1.1433538686919431e+00,200,paper_eq_46_47
0.1,1.125,4.7620760547942972e-03,1.1447965367068846e+00,200,paper_eq_46_47
0.1,1.125,4.8544895732384689e-03,1.1462542095980934e+00,200,paper_eq_46_47
0.1,1.125,4.9486964814338674e-03,1.1477270510761879e+00,200,paper_eq_46_47
0.1,1.125,5.0447315821545288e-03,1.1492152267265316e+00,200,paper_eq_46_47
0.1,1.125,5.1426303535620022e-03,1.1507189040304533e+00,200,paper_eq_46_47
